long,short,signal,profit
29,15,11,0.6990376006750336
33,11,7,0.6977427860743148
27,13,13,0.6885155040503228
27,15,11,0.6861418861445708
29,11,7,0.6810304606832731
33,17,7,0.6778122366069259
31,11,7,0.6774397630297934
29,13,13,0.6766755883811315
29,17,7,0.6751382220372814
31,17,7,0.6736171911476231
27,17,7,0.6641597005252886
33,13,7,0.6641319911496122
27,11,7,0.6617260526957733
33,15,7,0.6588175575573658
29,17,9,0.6565997476956463
29,15,7,0.6524997129453786
33,11,13,0.64891280067161
33,13,11,0.64891280067161
31,15,7,0.6476951052074253
29,13,7,0.6453387770695006
33,17,13,0.6420451120277056
27,13,11,0.6394208048680293
27,11,13,0.6394208048680293
29,11,13,0.6390257564333088
29,13,11,0.6390257564333088
33,17,9,0.6384190888687096
27,15,13,0.6383702548811603
27,13,7,0.6355418993547447
33,15,9,0.6349607871730124
27,17,11,0.6346583491814729
33,11,9,0.6343109132120561
27,11,9,0.6328545687079811
31,13,7,0.6318329101616187
29,15,13,0.6287489254904135
29,13,9,0.6284633016844633
33,13,9,0.6255859419710024
31,11,11,0.619029520668558
29,15,9,0.6187734935549893
31,13,11,0.6184362423364766
31,11,13,0.6184362423364766
27,15,9,0.6170000042375805
31,15,9,0.6169310269843507
33,11,11,0.615241891669514
31,17,9,0.6139525286140708
27,17,13,0.6126343681671468
29,11,11,0.6098262338217736
27,17,9,0.6074407753045419
31,13,9,0.6065855500249481
33,13,13,0.606326092166094
33,17,11,0.602502877124331
31,17,11,0.6018842451730118
31,15,11,0.5957733874285724
29,17,11,0.594709350463197
27,11,11,0.5934960943571921
31,15,13,0.5918233898388837
31,13,13,0.5861090062963192
31,17,13,0.5853873259151031
33,15,11,0.5839758127854601
27,13,9,0.5752643739091696
31,11,9,0.5593145476235273
29,11,9,0.5580615843683623
29,17,13,0.5535255551056895
33,15,13,0.5449485856202102
27,15,7,0.5199544893730601
