buffer,window,rmse,mape,directional_accuracy_quantile,directional_accuracy_thr
180,4,46.930109162237486,0.08107144784827926,0.5185185185185185,0.9548872180451128
360,4,46.835332115207166,0.08067006615673593,0.4444444444444444,0.9548872180451128
360,6,46.99073380505105,0.0812868042146038,0.4230769230769231,0.9538461538461539
300,4,47.30093836032784,0.08197750742050114,0.42592592592592593,0.9548872180451128
180,6,47.430666598606784,0.08316704100243981,0.4423076923076923,0.9538461538461539
360,8,47.553252013546455,0.08244212037366308,0.45098039215686275,0.952755905511811
300,6,47.59260865064659,0.08314103413015658,0.4423076923076923,0.9538461538461539
240,4,47.760866356159944,0.08332033856298231,0.3888888888888889,0.9548872180451128
180,8,47.76391764385118,0.08369711663084085,0.47058823529411764,0.952755905511811
360,10,48.000372440458314,0.08357188562750603,0.44,0.9516129032258065
300,8,48.12736287681073,0.08431646211517568,0.45098039215686275,0.952755905511811
180,10,48.31853346681765,0.08520273458272104,0.44,0.9516129032258065
360,12,48.33850108021938,0.08452814614846264,0.4897959183673469,0.9504132231404959
300,10,48.58819126387348,0.08552344926825471,0.42,0.9516129032258065
240,6,48.66062945344932,0.08650274519335911,0.46153846153846156,0.9538461538461539
240,8,48.73776209463441,0.08673026834317564,0.49019607843137253,0.952755905511811
180,12,49.00356601295274,0.08737828374568485,0.4897959183673469,0.9504132231404959
300,12,49.03013900436154,0.08688934157155301,0.46938775510204084,0.9504132231404959
240,10,49.600576861799,0.0891385168159948,0.42,0.9516129032258065
240,12,50.58572066590182,0.09185384615393868,0.42857142857142855,0.9504132231404959
120,6,61.92854615152968,0.11415852556002476,0.5576923076923077,0.9538461538461539
120,4,61.987455703780846,0.11496315686255418,0.5740740740740741,0.9511278195488722
120,8,63.469130656453956,0.11783060478167746,0.6078431372549019,0.9488188976377953
120,10,65.28861267764074,0.12150655119146277,0.6,0.9475806451612904
120,12,65.56724312005618,0.12186701136100218,0.6122448979591837,0.9462809917355371
